city,male,female
São Paulo (SP),5328385,5924091
Rio de Janeiro (RJ),2959673,3360010
Brasília (DF),1228825,1341149
Salvador (BA),1248823,1426454
Fortaleza (CE),1147841,1304033
Belo Horizonte (MG),1113435,1261384
Manaus (AM),879681,922161
Curitiba (PR),835072,916695
Recife (PE),709765,827590
Goiânia (GO),620813,681076
Belém (PA),658973,734225
Porto Alegre (RS),653763,755438
Guarulhos (SP),595021,626883
Campinas (SP),520834,559181
São Luís (MA),474947,539707
São Gonçalo (RJ),475251,524408
Maceió (AL),436467,496171
Duque de Caxias (RJ),411063,443915
Campo Grande (MS),381305,405408
Natal (RN),377907,425668
Teresina (PI),380588,433543
São Bernardo do Campo (SP),369614,395813
João Pessoa (PB),337761,385642
Nova Iguaçu (RJ),381735,414452
São José dos Campos (SP),308610,321269
Santo André (SP),324444,351920
Ribeirão Preto (SP),290165,314458
Jaboatão dos Guararapes (PE),304832,339673
Uberlândia (MG),294898,309057
Osasco (SP),320426,346272
Sorocaba (SP),287000,299584
Contagem (MG),292781,310611
Aracaju (SE),265463,305578
Feira de Santana (BA),263977,292584
Cuiabá (MT),269186,281855
Joinville (SC),255748,259515
Aparecida de Goiânia (GO),224794,230844
Londrina (PR),243047,263613
Juiz de Fora (MG),244015,272189
Porto Velho (RO),217605,210897
Ananindeua (PA),226624,245306
Serra (ES),201404,207821
Caxias do Sul (RS),213608,221932
Macapá (AP),195578,202494
Niterói (RJ),225825,261650
Florianópolis (SC),203038,218154
Belford Roxo (RJ),226747,242553
Campos dos Goytacazes (RJ),223240,240427
Vila Velha (ES),199142,215401
Mauá (SP),204088,212963
São João de Meriti (RJ),218095,240548
São José do Rio Preto (SP),196005,212217
Mogi das Cruzes (SP),188851,198907
Betim (MG),186346,191724
Boa Vista (RR),140790,143500
Maringá (PR),171722,185337
Santos (SP),191902,227451
Diadema (SP),186799,199277
Jundiaí (SP),180043,190053
Rio Branco (AC),163575,172420
Montes Claros (MG),174241,187624
Campina Grande (PB),182186,202950
Piracicaba (SP),178340,186207
Carapicuíba (SP),179280,190288
Anápolis (GO),163247,171334
Olinda (PE),174710,202994
Cariacica (ES),169950,178743
Bauru (SP),166635,177266
Itaquaquecetuba (SP),158536,163214
São Vicente (SP),159657,172762
Vitória (ES),153940,173818
Caruaru (PE),149145,165709
Caucaia (CE),159584,165823
Blumenau (SC),151538,157459
Petrolina (PE),143242,150695
Ponta Grossa (PR),151361,160234
Franca (SP),155455,163162
Canoas (RS),155928,167879
Pelotas (RS),154187,174052
Vitória da Conquista (BA),147854,158937
Ribeirão das Neves (MG),146979,149317
Uberaba (MG),144449,151503
Paulista (PE),141624,158796
Praia Grande (SP),125926,136112
Cascavel (PR),139761,146423
São José dos Pinhais (PR),130594,133607
Guarujá (SP),141708,149028
Taubaté (SP),136746,141919
Abreulândia (TO),1261,1130
Limeira (SP),135616,140383
Camaçari (BA),120697,122241
Santarém (PA),145522,149032
Petrópolis (RJ),140992,154906
Mossoró (RN),125734,134034
Suzano (SP),128687,133780
Taboão da Serra (SP),116891,127617
Várzea Grande (MT),125261,127312
Sumaré (SP),119857,121437
Marabá (PA),118187,115464
Gravataí (RS),124877,130771
Santa Maria (RS),123625,137374
Governador Valadares (MG),125219,138418
Barueri (SP),117046,123688
Embu das Artes (SP),116724,123490
Juazeiro do Norte (CE),118340,131560
Volta Redonda (RJ),122912,134869
Parnamirim (RN),96988,105432
Ipatinga (MG),116201,123238
Macaé (RJ),102426,104278
Indaiatuba (SP),100176,101432
Imperatriz (MA),119224,128265
Foz do Iguaçu (PR),124212,131860
Cotia (SP),98452,102687
Viamão (RS),116478,122888
São Carlos (SP),108908,113020
São José (SC),101388,108404
Colombo (PR),105007,107955
Magé (RJ),110566,116731
Novo Hamburgo (RS),115762,123166
Rio Verde (GO),90019,86379
Itaboraí (RJ),106187,111803
Americana (SP),103172,107455
Itapevi (SP),98745,102014
Sete Lagoas (MG),103986,110146
Divinópolis (MG),103822,109180
Marília (SP),104719,112008
Araraquara (SP),100646,107991
São Leopoldo (RS),104238,109834
Rondonópolis (MT),98186,97270
Hortolândia (SP),97430,95247
Jacareí (SP),103085,108110
Arapiraca (AL),101878,112109
Cabo Frio (RJ),90826,95379
Presidente Prudente (SP),99885,107704
Maracanaú (CE),102072,106962
Dourados (MS),96266,99753
Chapecó (SC),90622,92896
Itajaí (SC),90107,93259
Águas Lindas de Goiás (GO),79720,79651
Santa Luzia (MG),98483,104444
Juazeiro (BA),97075,100866
Criciúma (SC),94607,97697
Parauapebas (PA),77891,76013
Luziânia (GO),87081,87437
Itabuna (BA),96917,107689
Rio Grande (RS),94983,102232
Sobral (CE),91454,96759
Alvorada (RS),95078,100587
Cachoeiro de Itapemirim (ES),92836,97023
Cabo de Santo Agostinho (PE),90857,94147
Angra dos Reis (RJ),84663,84839
Rio Claro (SP),90684,95555
Passo Fundo (RS),88041,96759
Castanhal (PA),84474,88662
Lauro de Freitas (BA),79271,84162
Araçatuba (SP),87327,94237
Ferraz de Vasconcelos (SP),82140,86153
Santa Bárbara d'Oeste (SP),89220,90776
Nova Friburgo (RJ),87253,94819
Nossa Senhora do Socorro (SE),78284,82521
Aguiarnópolis (TO),2618,2544
Teresópolis (RJ),78273,85454
Barra Mansa (RJ),85791,92011
Jaraguá do Sul (SC),71799,71319
Ibirité (MG),77838,81110
Guarapuava (PR),81794,85521
São José de Ribamar (MA),78668,84343
Linhares (ES),70405,70876
Itapecerica da Serra (SP),76264,76340
Francisco Morato (SP),76635,77835
Palhoça (SC),68434,68893
Itu (SP),76214,77920
Mesquita (RJ),79787,88570
Valparaíso de Goiás (GO),64623,68354
Bragança Paulista (SP),72078,74652
Pindamonhangaba (SP),72284,74700
Timon (MA),75552,79872
Poços de Caldas (MG),73675,78741
Maricá (RJ),62646,64804
Itapetininga (SP),72167,72204
Caxias (MA),75071,80003
Teixeira de Freitas (BA),68070,70243
Nilópolis (RJ),73672,83735
São Caetano do Sul (SP),68849,80400
Abaetetuba (PA),71622,69440
Camaragibe (PE),69208,75232
Rio das Ostras (RJ),52204,53464
Franco da Rocha (SP),67460,64138
Barreiras (BA),67907,69505
Ilhéus (BA),89427,94757
Paranaguá (PR),69305,71159
Lages (SC),75949,80757
Jequié (BA),73585,78227
Patos de Minas (MG),67919,70775
Pouso Alegre (MG),64517,66088
Mogi Guaçu (SP),68092,69147
Parnaíba (PI),69723,75961
Jaú (SP),64210,66817
Alagoinhas (BA),67196,74690
Porto Seguro (BA),63482,63427
Queimados (RJ),66584,71372
Botucatu (SP),61756,65557
Balneário Camboriú (SC),51389,56693
Sinop (MT),57563,55534
Araucária (PR),59605,59512
Atibaia (SP),62208,64386
Santana de Parnaíba (SP),53671,55139
Toledo (PR),58334,60974
Sapucaia do Sul (RS),63745,67203
Garanhuns (PE),60970,68404
Teófilo Otoni (MG),64455,70239
Cametá (PA),62011,58865
Brusque (SC),52399,53097
Vitória de Santo Antão (PE),62402,67542
Barbacena (MG),60159,66114
Santa Rita (PB),58109,62169
Sabará (MG),60826,65433
Varginha (MG),59955,63119
